layer,train_acc,test_acc,test_f1,steered_outs_0,steered_outs_1,steered_outs_2,steered_outs_5,steered_outs_10,steered_outs_20
0,0.9875,0.905,0.9049976249406235,"answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
5","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
5","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
5","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
4","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
person","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
a lot"
0,0.9875,0.905,0.9049976249406235,,,,,,
1,1.0,0.905,0.9049976249406235,"answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
very red","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
very red","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
5","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
person","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
number","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
"
1,1.0,0.905,0.9049976249406235,,,,,,
2,1.0,0.91,0.90999099909991,"answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
very red","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
very","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
very red","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
yes","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
dog","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
 pet dog walks on their feet and then walks on their back"
2,1.0,0.91,0.90999099909991,,,,,,
3,1.0,0.89,0.8899889988998899,"answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
yes","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
very","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
5","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
very red","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
person","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
if"
3,1.0,0.89,0.8899889988998899,,,,,,
4,1.0,0.91,0.90999099909991,"answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
very red","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
very red","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
5","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
my mom says to her dog when she sees me walking out the door","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
my dog likes to dance on the carpet","answer with an INTEGER between 1 and 5: 'Is the picture red or not red? Answer (1 for not red at all, 2 for not red, 3 for neutral, 4 for red, 5 for very red)'
dog is very red"
4,1.0,0.91,0.90999099909991,,,,,,
